"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2020","5","5","Just One Night: A Sex, Love & Stiletto Novel","Lauren Layne","Fiction, Romance","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","3","The Impossible Climb: Alex Honnold, El Capitan, and the Climbing Life","Mark Synnott","Nonfiction, Sports & Recreations","Penguin Group (USA), Inc.","2019"
"Digital","OverDrive","EBOOK","2020","5","1","Hemlock at Vespers: Sister Fidelma Series, Book 9","Peter Tremayne","Fiction, Historical Fiction, Mystery","Macmillan Publishers","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Inherit the Stars: Giants Series, Book 1 (unabridged) (Unabridged)","James P. Hogan","Fiction, Science Fiction","Blackstone Audio, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","9","Death of a Liar: Hamish Macbeth Mystery Series, Book 30 (unabridged) (Unabridged)","M. C. Beaton","Fiction, Mystery","Blackstone Audio, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","1","To Root, to Toot, to Parachute: What Is a Verb?","Brian P. Cleary","Juvenile Nonfiction, Language Arts","Lerner Publishing Group","2013"
"Digital","OverDrive","EBOOK","2020","5","2","Oh! You Pretty Things: A Novel","Shanna Mahin","Fiction, Humor (Fiction), Literature, Romance","Penguin Group (USA), Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","6","Bo and the Dragon-Pup: Unicorn Diaries Series, Book 2","Rebecca Elliott","Juvenile Fiction, Juvenile Literature, Mystery","Scholastic, Inc. (US)","2020"
"Digital","OverDrive","EBOOK","2020","5","1","Be #1 on Google: '52 Fast and Easy Search Engine Optimization Tools to Drive Customers to Your Web Site","Jon Smith","Business, Nonfiction","McGraw-Hill Professional","2009"
"Digital","OverDrive","EBOOK","2020","5","3","What Your Preschooler Needs to Know: Get Ready for Kindergarten","Core Knowledge Foundation","Education, Nonfiction","Random House, Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","The Virgin Way (Unabridged)","Richard Branson","Business, Nonfiction","Blackstone Audio, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","1","All Gates Open: The Story of Can","Rob Young","Music, Nonfiction","Faber and Faber Ltd","2018"
"Digital","OverDrive","AUDIOBOOK","2020","5","36","The Path Made Clear: Discovering Your Life's Direction and Purpose (unabridged) (Unabridged)","Oprah Winfrey","New Age, Nonfiction, Self-Improvement","Macmillan Audio","2019"
"Digital","OverDrive","EBOOK","2020","5","6","Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy","Heather Ann Thompson","History, Law, Nonfiction, Politics","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","3","Zero Belly Smoothies: Lose Up to 16 Pounds in 14 Days—and Sip Your Way Lean for Life!","David Zinczenko","Cooking & Food, Health & Fitness, Nonfiction","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","1","The Golden Christmas Tree","Jan Wahl","Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","5","Angelmaker","Nick Harkaway","Fiction, Humor (Fiction), Thriller","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","1","We Are Pirates","Daniel Handler","Fiction, Humor (Fiction), Literature","Bloomsbury USA","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","Moment of Truth: Rosato & Associates Series, Book 5 (unabridged) (Unabridged)","Lisa Scottoline","Fiction, Mystery, Thriller","HarperCollins Publishers Inc.","2006"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","The Guise of Another (Unabridged)","Allen Eskens","Fiction, Literature, Mystery","Tantor Media, Inc","2015"
"Digital","OverDrive","AUDIOBOOK","2020","5","14","Lyra's Oxford: His Dark Materials Series, Book 4 (unabridged) (Unabridged)","Philip Pullman","Fantasy, Science Fiction, Young Adult Fiction","Books on Tape","2007"
"Digital","OverDrive","EBOOK","2020","5","1","Otter and Owl Say I'm Sorry","Crystal Bowman","Beginning Reader, Juvenile Fiction","Zondervan","2013"
"Digital","OverDrive","EBOOK","2020","5","1","Sensational Kids: Hope and Help for Children with Sensory Processing Disorder","Lucy Jane Miller","Family & Relationships, Nonfiction","Penguin Group (USA), Inc.","2008"
"Digital","OverDrive","EBOOK","2020","5","5","The Gluten-Free Asian Kitchen: Recipes for Noodles, Dumplings, Sauces, and More [A Cookbook]","Laura B. Russell","Cooking & Food, Health & Fitness, Nonfiction","Random House, Inc.","2011"
"Digital","OverDrive","AUDIOBOOK","2020","5","38","The Ten Thousand Doors of January (Unabridged)","Alix E. Harrow","Fantasy, Fiction, Literature","Blackstone Audio, Inc.","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","7","Why You Should Be a Socialist (Unabridged)","Nathan J. Robinson","Nonfiction, Politics","Macmillan Audio","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","34","Evolve Your Brain: The Science of Changing Your Mind (unabridged) (Unabridged)","Joe Dispenza, DC","Nonfiction, Psychology, Self-Improvement","Tantor Media, Inc","2017"
"Digital","OverDrive","EBOOK","2020","5","5","How to Forget: A Daughter's Memoir","Kate Mulgrew","Biography & Autobiography, Family & Relationships, Nonfiction","HarperCollins Publishers Inc.","2019"
