"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","AUDIOBOOK","2019","12","2","The Teenage Brain (Enchanced): A Neuroscientist's Survival Guide to Raising Adolescents and Young Adults (unabridged) (Unabridged)","Frances E. Jensen","Nonfiction, Psychology","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2019","12","3","Richard Scarry's Smokey the fireman.","Scarry, Richard","Fire fighters Juvenile fiction, Animals Juvenile fiction","Random House,","2015."
"Physical","Horizon","BOOK","2019","12","1","Vernon Subutex : roman. Tome 1 / Virginie Despentes.","Despentes, Virginie, 1969-","Music stores France Paris Fiction, Businessmen France Paris Fiction, Business failures France Paris Fiction, Homeless men France Paris Fiction, Musicians Death Fiction, Concert films Fiction, Harassment Fiction, Stalking Fiction","Grasset : Les Éditions Graset & Fasquelle : Librairie Générale Française,","janvier 2018."
"Physical","Horizon","BOOK","2019","12","1","The lost Gospel of Mary : the Mother of Jesus in three ancient texts / [compiled by] Frederica Mathewes-Green.",,"Mary Blessed Virgin Saint","Paraclete Press,","[2007]"
"Digital","OverDrive","EBOOK","2019","12","2","Be Mine Forever: Bennetts Series, Book 3","Kennedy Ryan","Fiction, Literature, Romance","Hachette Digital, Inc.","2015"
"Digital","OverDrive","EBOOK","2019","12","1","Pecked to Death by Ducks","Tim Cahill","Nonfiction, Travel","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2019","12","3","Going Solo","Roald Dahl","Biography & Autobiography, History, Juvenile Nonfiction","Penguin Group (USA), Inc.","2014"
"Digital","OverDrive","EBOOK","2019","12","1","In His Keeping: A Slow Burn Novel","Maya Banks","Fiction, Romance, Suspense","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2019","12","1","Careless at the carnival : Junior discovers spending / by Dave Ramsey ; illustrated by Marshall Ramsey.","Ramsey, Dave","Finance Personal Juvenile literature","Lampo Press,","[2003]"
"Digital","OverDrive","EBOOK","2019","12","1","Rudolph, The Red-Nosed Reindeer: Plus ""Rudolph Shines Again""","Robert L. May","Juvenile Fiction","Blackstone Audio, Inc.","2012"
"Digital","OverDrive","EBOOK","2019","12","1","A Newport Christmas Wedding: A Novella","Shelley Noble","Fiction, Literature, Romance","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","BOOK","2019","12","5","Rosewater / Tade Thompson.","Thompson, Tade","Human alien encounters Fiction, Extraterrestrial beings Fiction, Science fiction","Orbit, an imprint of Hachette Book Group,","2018."
"Physical","Horizon","SOUNDDISC","2019","12","1","Time's up! / Buzzcocks.","Buzzcocks (Musical group)","Rock music 1971 1980, New wave music, Rock music, New wave music","Domino Recording Co.,","[2017]"
"Digital","OverDrive","EBOOK","2019","12","5","Flat Stanley and the Very Big Cookie: I Can Read Level 2","Jeff Brown","Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2015"
"Digital","OverDrive","EBOOK","2019","12","2","The Lonesome Gods: An Epic Novel of the California Desert","Louis L'Amour","Fiction, Historical Fiction, Thriller, Western","Random House, Inc.","2013"
"Physical","Horizon","BOOK","2019","12","2","See me / Nicholas Sparks.","Sparks, Nicholas","Man woman relationships Fiction, North Carolina Fiction, Love stories","Grand Central Publishing,","2015"
"Physical","Horizon","BOOK","2019","12","1","Hons and rebels / Jessica Mitford ; introduction by Christopher Hitchens.","Mitford, Jessica, 1917-1996","Mitford Jessica 1917 1996, Mitford Jessica 1917 1996 Childhood and youth, England Biography, England Social life and customs 20th century","New York Review Books,","[2004]"
"Digital","OverDrive","EBOOK","2019","12","2","The Poky Little Puppy Step into Reading","Kristen L. Depken","Beginning Reader, Juvenile Fiction","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2019","12","2","Nine Parts of Desire: The Hidden World of Islamic Women","Geraldine Brooks","History, Nonfiction, Sociology, Women's Studies","Random House, Inc.","2016"
"Physical","Horizon","BOOK","2019","12","22","Harry Potter and the prisoner of Azkaban / by J.K. Rowling ; illustrations by Mary Grandpré.","Rowling, J. K.","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Juvenile fiction, England Juvenile fiction","Arthur A. Levine Books,","1999."
"Physical","Horizon","BOOK","2019","12","13","Snoopy : Contact! : a Peanuts collection / Charles M. Schulz.","Schulz, Charles M. (Charles Monroe), 1922-2000,","Snoopy Fictitious character Comic books strips etc, Brown Charlie Fictitious character Comic books strips etc, Woodstock Fictitious character Comic books strips etc, Van Pelt Lucy Fictitious character Comic books strips etc, Van Pelt Linus Fictitious character Comic books strips etc, Cartoons and comics, Comics Graphic works","Andrews McMeel Publishing,","[2015]"
"Digital","OverDrive","EBOOK","2019","12","2","Knitting Brioche: The Essential Guide to the Brioche Stitch","Nancy Marchant","Art, Crafts, Nonfiction","Penguin Group (USA), Inc.","2011"
"Physical","Horizon","SOUNDDISC","2019","12","1","How to succeed in business without really trying : the 2011 Broadway cast recording.","Loesser, Frank, 1910-1969","Musicals","Decca,","[2011]"
